request_index,url,status_code,success,error_message,api_request_response_ms,backend_latency_ms,timingMs.total_backend,timingMs.feature_extraction,timingMs.brand_analysis,timingMs.histgb_inference,timingMs.url_transformer_inference,timingMs.decision_fusion
47,https://garanti.com.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""3efe0c5d-ba6d-4e55-a80b-ed3447dfca4d""}",2.9638,,,,,,,
48,https://trendyol.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""17a50f7a-3cf5-4329-8dad-41c2ee8fb8ab""}",2.6844,,,,,,,
49,https://kkktun.edu.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""1271a298-3d9d-421f-97d0-da385c009012""}",2.8357,,,,,,,
50,https://ktun-login.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""06679439-357f-4ea1-b7e8-3f14544e6c94""}",3.0321,,,,,,,
51,https://login-ziraat-bankasi-guvenli.com/login,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""7f74bd49-bc65-4f36-9c21-193ec5f6f229""}",2.0894,,,,,,,
52,https://garanti-guvenli.com/login,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""1adf67c5-5dea-4b8d-9d2d-163d8100f142""}",4.0403,,,,,,,
53,https://turkiye-gov-tr.com/basvuru,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""e2b2ba03-7612-44fb-a41b-aea14a140ede""}",2.1524,,,,,,,
54,https://edevlet-basvuru.net/login,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""86f89d15-5a54-449f-8836-e29d04399757""}",28.2254,,,,,,,
55,https://enabiz-sonuc.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""879de8e9-ae11-4060-a908-77b18024a009""}",3.3422,,,,,,,
56,https://mhrs-randevu.org,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""968202e0-345f-4f79-9d6e-9f7b2ec45a98""}",22.8625,,,,,,,
57,https://ptt-kargo-takip.net,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""5cb1175d-23e5-4ecb-bf36-5ca3ebafe534""}",15.3773,,,,,,,
58,https://trendyol-iade-formu.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""ebbfdd3b-6ba5-4c49-a160-64402e98228c""}",3.7644,,,,,,,
59,https://vakifbank-dogrulama.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""7bce6d2e-6c7b-4deb-be77-8e48d209bd74""}",26.8497,,,,,,,
60,https://webtapu-randevu.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""f004ae03-c455-4740-8a2d-eaf877311c24""}",2.892,,,,,,,
61,https://ktun.edu.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""d05e1f2c-c8f3-4740-93e9-14b4cf5cabd9""}",5.1404,,,,,,,
62,https://obs.ktun.edu.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""a2030013-2877-4b1f-bb35-9a76f9f11500""}",2.6749,,,,,,,
63,https://turkiye.gov.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""53d2b99f-52a5-4afb-aa74-eaf8e538da62""}",2.1114,,,,,,,
64,https://enabiz.gov.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""28b69c78-43c9-4e0b-b00c-00050ae48ac0""}",2.1573,,,,,,,
65,https://mhrs.gov.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""78f97eea-164a-475e-9f2e-420ead1c0880""}",2.227,,,,,,,
66,https://ziraatbank.com.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""53fa61ae-ff81-4ca6-85c9-31c134c7ee60""}",2.1363,,,,,,,
67,https://garanti.com.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""732e3cd2-3c67-4c91-9738-acef7f5bace4""}",2.2016,,,,,,,
68,https://trendyol.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""48c5d934-4e16-4100-8b45-e28f31f7ca98""}",1.8915,,,,,,,
69,https://kkktun.edu.tr,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""3d0c294c-79b8-4874-9397-8036397c1b3e""}",2.2623,,,,,,,
70,https://ktun-login.com,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""a01ec02a-3f0f-4024-abf7-98bd1cae72e9""}",1.8493,,,,,,,
71,https://login-ziraat-bankasi-guvenli.com/login,429,False,"{""code"": ""rate_limited"", ""message"": ""Too many requests. Try again shortly."", ""requestId"": ""d3271fb5-5dfd-4abe-9652-d82297959c97""}",17.6729,,,,,,,
